iter	Logloss
0	0.6858078598
1	0.6789376729
2	0.6728325505
3	0.6669913185
4	0.6615587245
5	0.6565786656
6	0.6519630193
7	0.6478799978
8	0.6438219299
9	0.6403517116
10	0.6370284063
11	0.6342219685
12	0.6313807347
13	0.6285748746
14	0.6260205839
15	0.6238374673
16	0.6216981974
17	0.619538212
18	0.6177933995
19	0.6160783526
20	0.6143295729
21	0.6128448166
22	0.6116238587
23	0.6103268779
24	0.6090251298
25	0.6078992406
26	0.6068649807
27	0.6058583201
28	0.6050424102
29	0.6042103141
30	0.6034927411
31	0.6027723885
32	0.6020312225
33	0.6012678437
34	0.6005805694
35	0.5998925965
36	0.599355895
37	0.5988229537
38	0.5984017034
39	0.597993058
40	0.5976423382
41	0.5972301122
42	0.5968408112
43	0.5964680796
44	0.5961170553
45	0.5957591704
46	0.5953855291
47	0.5951283296
48	0.5948106105
49	0.5945737576
50	0.5942729187
51	0.5940830258
52	0.5938407463
53	0.5936854574
54	0.5935287806
55	0.5933217166
56	0.5931464358
57	0.5929587705
58	0.5928399267
59	0.5927083151
60	0.5925539235
61	0.5923493529
62	0.592178373
63	0.5919916763
64	0.5918583624
65	0.5917614623
66	0.5916610406
67	0.5915507026
68	0.5914310114
69	0.5913437786
70	0.591247377
71	0.5911292127
72	0.591037787
73	0.590910573
74	0.5908320717
75	0.5907542021
76	0.5906871429
77	0.5906185088
78	0.5905422992
79	0.590418199
80	0.5903231011
81	0.5902284886
82	0.5901433793
83	0.5900775933
84	0.5900075054
85	0.5899268259
86	0.589883739
87	0.5898183711
88	0.5897356714
89	0.5896658456
90	0.589612116
91	0.5895516524
92	0.5894603283
93	0.5894162633
94	0.5893287514
95	0.5892609744
96	0.5892035056
97	0.5891441477
98	0.5890842251
99	0.5890507098
100	0.5889932865
101	0.5889157418
102	0.5888527569
103	0.5888269054
104	0.5887708546
105	0.5887179537
106	0.5886821859
107	0.5886169834
108	0.5885655636
109	0.5884947485
110	0.588461947
111	0.5884405149
112	0.5883987355
113	0.5883508168
114	0.5883076637
115	0.5882652889
116	0.5881986063
117	0.5881463972
118	0.5880811835
119	0.5880339767
120	0.5879981369
121	0.5879314469
122	0.5878977091
123	0.5878391783
124	0.5878002298
125	0.5877560798
126	0.5877204144
127	0.587691839
128	0.5876369667
129	0.5875777074
130	0.5875296644
131	0.5874870458
132	0.5874657979
133	0.5874320374
134	0.5874123397
135	0.5873902737
136	0.5873495441
137	0.5873200413
138	0.5872715953
139	0.5872343051
140	0.5871712118
141	0.5871376633
142	0.5871106414
143	0.5870639638
144	0.5870096821
145	0.5869790102
146	0.5869451135
147	0.5869198407
148	0.5868749967
149	0.5868464627
150	0.5867966536
151	0.5867633467
152	0.5867160433
153	0.5866744696
154	0.5866601935
155	0.586630784
156	0.5865911824
157	0.5865557175
158	0.5865300197
159	0.5865002213
160	0.5864746807
161	0.5864427653
162	0.5864164618
163	0.5863769144
164	0.5863466593
165	0.5863170997
166	0.5862956827
167	0.5862675496
168	0.5862405523
169	0.5861874608
170	0.5861606291
171	0.5861286199
172	0.5861001044
173	0.5860482881
174	0.5860037294
175	0.5859686689
176	0.5859425876
177	0.5859229342
178	0.5859068965
179	0.5858659649
180	0.5858374747
181	0.5857976142
182	0.5857574301
183	0.5857211937
184	0.5856888239
185	0.5856546705
186	0.5856245876
187	0.5855886729
188	0.585564306
189	0.5855446302
190	0.5855042126
191	0.5854605437
192	0.5854237377
193	0.585376253
194	0.5853524354
195	0.5853249863
196	0.5852926813
197	0.5852796371
198	0.5852521786
199	0.5852131393
200	0.5851895925
201	0.5851732133
202	0.5851376978
203	0.5851062349
204	0.5850799471
205	0.5850510387
206	0.5849891309
207	0.5849405353
208	0.5848926933
209	0.5848346231
210	0.5848040592
211	0.5847497866
212	0.5847138393
213	0.5846838395
214	0.5846513759
215	0.5846142167
216	0.5845766593
217	0.5845463507
218	0.5845123449
219	0.5844887936
220	0.5844509859
221	0.5844191834
222	0.5843862559
223	0.584361586
224	0.5843287793
225	0.5842839418
226	0.5842298447
227	0.5842032473
228	0.5841861217
229	0.5841690096
230	0.5841372782
231	0.5840983175
232	0.5840803488
233	0.584063082
234	0.5840372686
235	0.584022405
236	0.5839927239
237	0.5839364379
238	0.5838970318
239	0.5838559011
240	0.5838056808
241	0.5837644808
242	0.5837191633
243	0.5837145785
244	0.5837005196
245	0.5836693876
246	0.58364741
247	0.5836059868
248	0.5835541412
249	0.5835179961
250	0.5834759775
251	0.5834471954
252	0.5834026791
253	0.5833715354
254	0.5833474598
255	0.5833335199
256	0.5832950946
257	0.5832677654
258	0.5832365811
259	0.5832098264
260	0.5831948024
261	0.5831693621
262	0.5831591187
263	0.5831253109
264	0.5830707458
265	0.5830377248
266	0.5830054424
267	0.5829496467
268	0.5828722945
269	0.5828187552
270	0.5827778494
271	0.5827165645
272	0.5826615918
273	0.582626821
274	0.5825878278
275	0.5825749342
276	0.5825548665
277	0.5825105597
278	0.5824653175
279	0.582434961
280	0.5823977685
281	0.5823532383
282	0.5822991493
283	0.5822581341
284	0.582206447
285	0.5821599327
286	0.5821218783
287	0.5820837084
288	0.582026248
289	0.5819985872
290	0.5819707687
291	0.5819130723
292	0.5818542493
293	0.5818057885
294	0.5817532572
295	0.5817072464
296	0.5816863004
297	0.5816395489
298	0.5815943027
299	0.5815641205
300	0.5815158993
301	0.5814578174
302	0.5814427275
303	0.5814073918
304	0.5813726618
305	0.5813260318
306	0.581284771
307	0.5812502842
308	0.5812098467
309	0.58116014
310	0.5811205015
311	0.5810623591
312	0.5809747513
313	0.5809215397
314	0.5808654758
315	0.5808199513
316	0.5807625263
317	0.5807377519
318	0.5806665135
319	0.5806051862
320	0.5805327566
321	0.5804723565
322	0.5804464957
323	0.5803965855
324	0.5803641923
325	0.5803167522
326	0.580287226
327	0.5802045374
328	0.5801300409
329	0.5800552485
330	0.5800113463
331	0.5799816391
332	0.5799292809
333	0.5798817793
334	0.5798537446
335	0.5798058118
336	0.5797634333
337	0.5796946474
338	0.5796405633
339	0.5796156471
340	0.5795852831
341	0.5795251853
342	0.5794895848
343	0.579412667
344	0.5793707873
345	0.5793529876
346	0.5793040688
347	0.5792464073
348	0.5792075174
349	0.5791626192
350	0.5791381872
351	0.5790553976
352	0.5790334904
353	0.5789958915
354	0.5789243827
355	0.578885651
356	0.5788647007
357	0.5788435212
358	0.578806224
359	0.5787516996
360	0.5787067509
361	0.5786519908
362	0.5786318782
363	0.5786113748
364	0.5785526932
365	0.5785029611
366	0.5784705991
367	0.578410265
368	0.5783491038
369	0.5782900119
370	0.5782493424
371	0.5782072715
372	0.5781840701
373	0.5781396966
374	0.5780881172
375	0.5780312128
376	0.5779670779
377	0.5779399833
378	0.5779154112
379	0.5778813176
380	0.5778166731
381	0.5777987908
382	0.5777692342
383	0.5777494196
384	0.5777107531
385	0.5776811582
386	0.5776536914
387	0.5776057816
388	0.577573623
389	0.5775256741
390	0.5774706897
391	0.5774452238
392	0.5774088011
393	0.5773446926
394	0.57726054
395	0.5771934168
396	0.5771605205
397	0.5770998532
398	0.5770753177
399	0.5770201565
400	0.5769847279
401	0.5769068257
402	0.5768758395
403	0.5767978908
404	0.5767512798
405	0.5767070149
406	0.5766746533
407	0.5766183526
408	0.5765801744
409	0.5765316226
410	0.5764883821
411	0.5764499368
412	0.5763947927
413	0.5763297041
414	0.5762953573
415	0.5762369254
416	0.5761861134
417	0.5761270316
418	0.5760894209
419	0.5760432002
420	0.5759915418
421	0.5759318827
422	0.5758974587
